Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:49330000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
49330000;1;01/11/1979;;1;1;4684,322;2341,146;3419,292;22;10;1;1;1;;0;2472,827;2643,224;2583,919;2861,458;2861,458;2775,711;2589,823;2757,482;2703,102;2341,146;2954,562;2935,839;2987,031;3086,916;3396,804;3102,434;3462,271;4252,674;4152,655;4044,949;4550,662;4684,322;4484,583;4243,53;4335,426;4152,655;3790,711;3545,017;3991,646;3833,935;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/12/1979;;1;1;3886,139;2284,854;2914,023;1;16;1;1;1;;0;3886,139;3782,097;3747,741;3773,493;3561,687;3637,207;3421,279;3117,993;3196,391;3048,297;2886,161;2531,037;2386,598;2467,038;2352,474;2284,854;2649,186;2673,092;2867,625;2769,629;2763,553;2904,748;2769,629;2757,482;2781,799;2531,037;2560,358;2432,424;2531,037;2625,372;2637,268;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/01/1980;;1;1;6662,845;3110,208;4993,351;31;1;1;1;1;;0;3110,208;3578,398;3611,942;3688,01;3388,667;3921,146;4044,949;4152,655;4225,273;4207,058;4626,793;4839,535;4674,708;5434,582;5351,801;5228,864;5178,077;5331,208;5434,582;5655,016;5559,988;5956,001;6142,692;6054,465;6253,905;6175,947;5999,66;5310,657;5476,219;5518,021;6662,845;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/02/1980;;1;1;8538,003;5444,975;7663,476;19;13;1;1;1;;0;7037,629;7144,954;7447,497;7325,699;7508,786;7447,497;7471,981;7619,762;7484,239;7632,146;7644,539;6848,909;5444,975;5538,984;5486,654;7995,784;8110,422;7983,099;8538,003;8485,568;8485,568;8485,568;8498,661;8433,301;8472,485;8407,23;8407,23;8394,211;8459,414;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
49330000;1;01/03/1980;;1;1;8564,282;5633,827;8158,653;14;26;1;1;1;;0;8472,485;8407,23;8277,504;8420,261;8316,312;8381,201;8420,261;8524,878;8538,003;8524,878;8511,765;8524,878;8538,003;8564,282;8251,684;8161,644;8148,822;8174,475;8174,475;8200,17;8110,422;7970,424;8072,115;7756,547;8021,186;5633,827;8136,012;7831,688;8213,032;7669,356;7970,424;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/04/1980;;1;1;8072,115;3536,697;5489,645;1;8;1;1;1;;0;8072,115;7037,629;6388,728;5444,975;4742,22;3912,379;3696,512;3536,697;3868,698;4665,105;4684,322;5772,295;5890,823;5623,247;5686,877;5697,519;5783,02;5718,832;5729,504;5761,583;5393,109;5858,374;5602,12;5718,832;5476,219;5750,879;5912,508;5708,17;5686,877;5869,18;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/05/1980;;1;1;5772,295;1975,25;4104,126;5;26;1;1;1;;0;5718,832;5665,626;5740,187;5761,583;5772,295;5740,187;5686,877;5676,247;5591,571;5117,472;5017,285;5017,285;4742,22;4819,99;5047,233;4270,992;3511,797;3356,216;3251,87;3404,952;3348,129;3315,881;2793,992;2358,146;2028,172;1975,25;2076,311;2119,506;2218,079;2910,955;3172,765;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/06/1980;;1;1;3380,539;2157,613;2640,205;2;26;1;1;1;;0;3267,812;3380,539;3180,63;3243,914;3251,87;3283,794;3251,87;3141,406;2948,315;3133,592;2898,547;2733,256;2455,477;2420,933;2380,896;2329,84;2386,598;2262,502;2443,939;2301,68;2273,667;2386,598;2369,51;2251,361;2329,84;2157,613;2207,032;2163,08;2174,033;2196,009;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/07/1980;;1;1;2415,196;2163,08;2262,09;9;29;1;1;1;;0;2212,553;2229,15;2301,68;2251,361;2240,244;2212,553;2245,8;2240,244;2415,196;2212,553;2358,146;2218,079;2352,474;2190,506;2301,68;2234,694;2245,8;2245,8;2284,854;2290,457;2307,301;2324,197;2240,244;2363,825;2201,518;2229,15;2201,518;2296,066;2163,08;2223,612;2290,457;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/08/1980;;1;1;2352,474;2006,931;2236,763;18;23;1;1;1;;0;2135,802;2196,009;2290,457;2279,258;2335,49;2218,079;2223,612;2207,032;2234,694;2273,667;2262,502;2262,502;2130,364;2284,854;2279,258;2268,082;2312,927;2352,474;2279,258;2262,502;2135,802;2201,518;2006,931;2240,244;2245,8;2212,553;2229,15;2201,518;2207,032;2229,15;2341,146;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/09/1980;;1;1;2234,694;1694,942;2001,47;1;7;1;1;1;;0;2234,694;2130,364;2185,009;2081,69;1964,737;2163,08;1694,942;1754,536;2054,856;2006,931;1996,347;2038,828;2001,636;1896,99;2044,165;2017,54;2049,508;2049,508;1980,515;1969,991;1840,46;2028,172;2054,856;1917,727;1975,25;1975,25;1980,515;1845,569;2114,086;1996,347;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/10/1980;;1;1;2352,474;1886,657;2041,526;17;1;1;1;1;;0;1886,657;1928,132;1902,165;2054,856;2028,172;2060,211;2033,497;2087,074;1896,99;1907,347;1938,561;1917,727;2081,69;2108,672;1985,786;1933,343;2352,474;2352,474;1917,727;2049,508;2028,172;1985,786;2006,931;1949,013;1922,927;2006,931;2135,802;2201,518;2157,613;2262,502;2207,032;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/11/1980;;1;1;2572,127;1881,5;2164,29;29;15;1;1;1;;0;2163,08;2157,613;2141,246;2196,009;2185,009;2201,518;2163,08;2081,69;2141,246;2256,929;2179,518;1975,25;2163,08;1928,132;1881,5;2196,009;2168,554;2201,518;2174,033;2284,854;2108,672;2114,086;2152,151;2146,696;2124,932;2196,009;2174,033;2124,932;2572,127;2375,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/12/1980;;1;1;5740,187;2157,613;3390,915;30;2;1;1;1;;0;2168,554;2157,613;2163,08;2245,8;2358,146;2449,705;2455,477;2223,612;2484,422;2478,622;2649,186;2745,358;2879,977;3110,208;3243,914;3149,231;3164,91;3243,914;3323,928;3462,271;3228,033;3243,914;3196,391;4027,141;4674,708;4868,929;5290,147;5549,48;5644,416;5740,187;5497,099;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/01/1981;;1;1;5890,823;4484,583;5365,714;21;15;1;1;1;;0;5559,988;5518,021;5507,555;5633,827;5581,033;5623,247;5623,247;5549,48;5665,626;5581,033;5424,198;5729,504;5623,247;5424,198;4484,583;5147,729;5633,827;5507,555;5836,792;5804,498;5890,823;5697,519;5602,12;5087,308;4781,023;5218,686;4987,429;4588,646;4703,581;4703,581;4617,241;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/02/1981;;1;1;4781,023;1922,927;3674,603;5;28;1;1;1;;0;4381,757;4531,73;4761,601;4761,601;4781,023;4742,22;4722,88;4722,88;4684,322;4116,59;4216,161;4080,688;4280,166;4071,738;3851,296;3903,622;3595,15;3478,74;3348,129;2619,433;2751,417;2589,823;2531,037;2490,229;2398,02;2341,146;2212,553;1922,927;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
49330000;1;01/03/1981;;1;1;6087,473;1789,704;3037,17;25;12;1;1;1;;0;2163,08;1996,347;2028,172;1933,343;1917,727;1933,343;1845,569;1912,534;1975,25;1954,249;1845,569;1789,704;2245,8;2649,186;3133,592;2904,748;2449,705;2245,8;2146,696;2607,572;3611,942;3868,698;4326,19;5815,252;6087,473;5956,001;4781,023;5117,472;4503,411;3637,207;2769,629;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/04/1981;;1;1;5434,582;2824,573;4470,807;29;3;1;1;1;;0;2923,386;3002,287;2824,573;3437,645;4771,307;5147,729;5037,241;4531,73;4522,281;4437,69;4428,342;4437,69;4391,053;4280,166;4372,47;4400,36;4197,965;4216,161;4447,048;4579,134;4977,498;5067,25;5037,241;4484,583;5117,472;4674,708;4878,748;4918,125;5434,582;5147,729;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/05/1981;;1;1;4344,672;2190,506;2789,124;1;30;1;1;1;;0;4344,672;4116,59;3912,379;3228,033;2800,096;2800,096;2818,445;2861,458;2800,096;2812,323;2800,096;2745,358;2709,122;2745,358;2685,079;2578,02;2643,224;2560,358;2536,889;2673,092;2685,079;2625,372;2625,372;2566,24;2525,189;2478,622;2467,038;2426,676;2472,827;2190,506;2229,15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
